Validation_Set,Topics,Alpha,Beta,Coherence
100% corpus,8,asymmetric,0.01,0.3513740016997565
100% corpus,8,asymmetric,0.31,0.3825413535469341
100% corpus,8,asymmetric,0.61,0.3956888427367332
100% corpus,8,asymmetric,0.9099999999999999,0.4239837130111018
100% corpus,8,asymmetric,symmetric,0.4025076665318134
100% corpus,10,0.01,0.01,0.36098917961959465
100% corpus,10,0.01,0.31,0.4202246514350817
100% corpus,10,0.01,0.61,0.46579664160172474
100% corpus,10,0.01,0.9099999999999999,0.4115535415832518
100% corpus,10,0.01,symmetric,0.3859290544612233
100% corpus,10,0.31,0.01,0.3609161991315962
100% corpus,10,0.31,0.31,0.40925966341177594
100% corpus,10,0.31,0.61,0.4006912368969722
100% corpus,10,0.31,0.9099999999999999,0.4169813148616951
100% corpus,10,0.31,symmetric,0.3909511248043302
100% corpus,10,0.61,0.01,0.3905098028654226
100% corpus,10,0.61,0.31,0.3974802910766694
100% corpus,10,0.61,0.61,0.39266292954761345
100% corpus,10,0.61,0.9099999999999999,0.39238101265322956
100% corpus,10,0.61,symmetric,0.3986383061161586
100% corpus,10,0.9099999999999999,0.01,0.373771669618767
100% corpus,10,0.9099999999999999,0.31,0.39285103849512026
100% corpus,10,0.9099999999999999,0.61,0.40291773815521176
100% corpus,10,0.9099999999999999,0.9099999999999999,0.4062661699189718
100% corpus,10,0.9099999999999999,symmetric,0.40562211092871153
100% corpus,10,symmetric,0.01,0.3545600517815705
100% corpus,10,symmetric,0.31,0.39869172560902827
100% corpus,10,symmetric,0.61,0.46017130379643245
100% corpus,10,symmetric,0.9099999999999999,0.4123590559889038
100% corpus,10,symmetric,symmetric,0.38126109387173923
100% corpus,10,asymmetric,0.01,0.3534616876869661
100% corpus,10,asymmetric,0.31,0.4037694470134812
100% corpus,10,asymmetric,0.61,0.40494169507433425
100% corpus,10,asymmetric,0.9099999999999999,0.41221353717864934
100% corpus,10,asymmetric,symmetric,0.38543537420158425
100% corpus,12,0.01,0.01,0.32904718215085055
100% corpus,12,0.01,0.31,0.39588107334695416
100% corpus,12,0.01,0.61,0.42963654555784186
100% corpus,12,0.01,0.9099999999999999,0.44561812460906264
100% corpus,12,0.01,symmetric,0.35480219537946417
100% corpus,12,0.31,0.01,0.3585768378847016
100% corpus,12,0.31,0.31,0.4015180346129033
100% corpus,12,0.31,0.61,0.4297232409380502
100% corpus,12,0.31,0.9099999999999999,0.45530356183361853
100% corpus,12,0.31,symmetric,0.3877144158059253
100% corpus,12,0.61,0.01,0.38260772767477236
100% corpus,12,0.61,0.31,0.37742069267709505
100% corpus,12,0.61,0.61,0.4069989748304777
100% corpus,12,0.61,0.9099999999999999,0.39831950376498343
100% corpus,12,0.61,symmetric,0.37237512129368855
100% corpus,12,0.9099999999999999,0.01,0.3682845345733505
100% corpus,12,0.9099999999999999,0.31,0.3957082614070795
100% corpus,12,0.9099999999999999,0.61,0.3900808834542759
